name,pop,region,income,education_score,out_of_work
Carlton in Lindrick BUA,5456,East Midlands,Higher deprivation towns,-0.533750422,NA
Dorchester (West Dorset) BUA,19060,South West,Mid deprivation towns,1.952018749,4.184100418410042
Ely BUA,19090,East of England,Lower deprivation towns,-1.044127985,NA
Market Weighton BUA,6429,Yorkshire and The Humber,Lower deprivation towns,-1.249261949,NA
Downham Market BUA,10884,East of England,Higher deprivation towns,-1.169078452,15.053763440860216
Penrith BUA,15181,North West,Lower deprivation towns,0.84513109,7.59493670886076
Bolsover BUA,11754,East Midlands,Higher deprivation towns,-3.717919688,11.864406779661016
March BUA,21051,East of England,Higher deprivation towns,-2.171307159,6.808510638297872
Southam BUA,6567,West Midlands,Lower deprivation towns,6.437661398,NA
Royston BUA,15781,East of England,Lower deprivation towns,0.29540337,NA
Studley BUA,6203,West Midlands,Lower deprivation towns,4.304494117,NA
Irthlingborough BUA,7502,East Midlands,Mid deprivation towns,-4.001866891,11.956521739130435
Freshwater BUA,7829,South East,Higher deprivation towns,-5.023115005,NA
Barnoldswick BUA,10435,North West,Mid deprivation towns,-1.26838592,8.527131782945736
Wirksworth BUA,5038,East Midlands,Mid deprivation towns,-1.264372252,NA
Dalton-in-Furness BUA,7827,North West,Mid deprivation towns,-0.718396082,NA
Bedlington BUA,16974,North East,Higher deprivation towns,-4.061010691,12.676056338028168
Brigg BUA,6787,Yorkshire and The Humber,Higher deprivation towns,0.742113567,NA
Widnes BUA,61464,North West,Higher deprivation towns,0.263105429,11.1716621253406
Hethersett BUA,5520,East of England,Lower deprivation towns,1.608629917,NA
Coningsby Airfield BUA,5021,East Midlands,Mid deprivation towns,-3.9569896,NA
Amble BUA,6025,North East,Higher deprivation towns,-7.090910923,NA
Skelton (Redcar and Cleveland) BUA,6535,North East,Higher deprivation towns,1.381818433,10.989010989010987
Seaford BUA,22584,South East,Mid deprivation towns,0.183946279,5.829596412556054
Ryhill BUA,5150,Yorkshire and The Humber,Higher deprivation towns,-3.813706933,NA
Budleigh Salterton BUA,5185,South West,Lower deprivation towns,1.419986073,NA
Great Dunmow BUA,7749,East of England,Lower deprivation towns,-0.309563755,NA
Wideopen BUA,8976,North East,Mid deprivation towns,-0.955169026,NA
Frodsham BUA,9032,North West,Lower deprivation towns,3.999734957,NA
Rothwell BUA,7694,East Midlands,Higher deprivation towns,-6.163408673,10.416666666666668
Chard BUA,13074,South West,Higher deprivation towns,-4.268131254,13.253012048192772
Hook (Hart) BUA,7934,South East,Lower deprivation towns,3.860304863,NA
Rainworth BUA,7693,East Midlands,Higher deprivation towns,-0.241286848,13.79310344827586
Beverley BUA,30587,Yorkshire and The Humber,Lower deprivation towns,2.763057391,8.771929824561402
Haverhill BUA,27041,East of England,Mid deprivation towns,-2.564226331,7.453416149068323
St Leonards BUA,5984,South West,Lower deprivation towns,6.610611497,NA
